"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","江戸川橋","3",83000000,"","","85",,"ほぼ長方形","7.0","95","昭和55年","木造","住宅","住宅","東","私道",2.5,"第１種住居地域",60,300,"2017年第３四半期","",""
2,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",28000000,"","１Ｋ","25",,"","","","平成23年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","護国寺","3",57000000,"3300000","","55",1000000,"ほぼ長方形","9.0","","","","","住宅","北","区道",4.0,"第１種住居地域",60,300,"2020年第３四半期","","私道を含む取引"
4,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",22000000,"","","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
5,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",77000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
6,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",18000000,"","１Ｋ","15",,"","","","平成13年","ＳＲＣ","住宅","その他","","",,"商業地域",80,400,"2020年第２四半期","未改装",""
7,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",60000000,"","３ＬＤＫ","80",,"","","","昭和45年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第２四半期","改装済",""
8,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","1",130000000,"","３ＬＤＫ","145",,"","","","昭和46年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第２四半期","改装済",""
9,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","護国寺","5",150000000,"","","140",,"ほぼ整形","13.5","190","昭和60年","鉄骨造","住宅、共同住宅","住宅","南","私道",5.0,"第１種住居地域",60,200,"2020年第１四半期","",""
10,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",70000000,"","３ＬＤＫ","95",,"","","","昭和45年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2020年第１四半期","改装済",""
11,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",20000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","その他","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
12,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",17000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
13,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",19000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
14,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",27000000,"","１Ｋ","25",,"","","","平成23年","ＲＣ","","住宅","","",,"商業地域",80,400,"2019年第４四半期","未改装",""
15,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",26000000,"","１Ｋ","25",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第３四半期","",""
16,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",36000000,"","２ＤＫ","50",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2019年第３四半期","未改装",""
17,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",46000000,"","３ＬＤＫ","95",,"","","","昭和45年","ＳＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第２四半期","未改装",""
18,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",88000000,"","３ＬＤＫ","150",,"","","","昭和45年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2019年第１四半期","改装済",""
19,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",19000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
20,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","1",48000000,"","２ＤＫ","80",,"","","","昭和46年","ＳＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,300,"2018年第４四半期","",""
21,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",34000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
22,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",33000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
23,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","1",50000000,"","３ＬＤＫ","105",,"","","","昭和46年","ＳＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,300,"2018年第４四半期","未改装",""
24,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第４四半期","未改装",""
25,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",52000000,"","１ＤＫ","40",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
26,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",34000000,"","１Ｋ","25",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
27,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",48000000,"","２ＬＤＫ","40",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
28,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",12000000,"","１Ｋ","15",,"","","","平成7年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
29,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",30000000,"","１ＤＫ","30",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2018年第３四半期","未改装",""
30,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","護国寺","5",29000000,"2200000","","45",650000,"ほぼ長方形","4.0","","","","","住宅","北","私道",3.7,"準工業地域",60,300,"2018年第２四半期","",""
31,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",55000000,"","２ＤＫ","55",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第２四半期","未改装",""
32,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",88000000,"","３ＬＤＫ","80",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第２四半期","未改装",""
33,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",17000000,"","１Ｋ","20",,"","","","平成10年","ＳＲＣ","","事務所","","",,"商業地域",80,500,"2018年第１四半期","未改装",""
34,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","","住宅","","",,"商業地域",80,400,"2017年第４四半期","未改装",""
35,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","","住宅","","",,"商業地域",80,400,"2017年第３四半期","未改装",""
36,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","2",11000000,"","１Ｒ","25",,"","","","昭和54年","ＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,300,"2017年第３四半期","未改装",""
37,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",80000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","","住宅","","",,"商業地域",80,400,"2017年第３四半期","改装済",""
38,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","護国寺","3",100000000,"","","95",,"ほぼ長方形","7.0","170","昭和55年","ＲＣ","共同住宅","住宅","北西","区道",3.4,"第１種住居地域",60,300,"2017年第２四半期","","私道を含む取引"
39,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",48000000,"","２ＬＤＫ","45",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2017年第２四半期","改装済",""
40,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","1",90000000,"","３ＬＤＫ","170",,"","","","昭和46年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2017年第１四半期","改装済",""
41,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2017年第１四半期","未改装",""
42,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",17000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2017年第１四半期","未改装",""
43,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","","20",,"","","","平成12年","ＲＣ","住宅","その他","","",,"商業地域",80,400,"2017年第１四半期","未改装",""
44,"宅地(土地と建物)","商業地","13105","東京都","文京区","大塚","護国寺","5",1100000000,"","","470",,"不整形","21.2","1100","昭和53年","ＲＣ","共同住宅、事務所、店舗","住宅","北東","都道",27.0,"商業地域",80,600,"2016年第４四半期","",""
45,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",19000000,"","１Ｋ","20",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2016年第４四半期","",""
46,"宅地(土地と建物)","商業地","13105","東京都","文京区","大塚","護国寺","3",190000000,"","","150",,"ほぼ長方形","8.0","240","昭和43年","鉄骨造","住宅、事務所","住宅","北","都道",22.0,"商業地域",80,500,"2016年第３四半期","","私道を含む取引"
47,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",17000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第３四半期","未改装",""
48,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",17000000,"","１Ｋ","15",,"","","","平成13年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第３四半期","未改装",""
49,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１ＤＫ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第３四半期","",""
50,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",21000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第３四半期","未改装",""
51,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",15000000,"","１Ｋ","15",,"","","","平成13年","ＲＣ","住宅","","","",,"準工業地域",60,300,"2016年第３四半期","改装済",""
52,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",20000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","その他","","",,"商業地域",80,400,"2016年第２四半期","未改装",""
53,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",150000000,"","３ＬＤＫ","80",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第２四半期","未改装",""
54,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",34000000,"","２ＬＤＫ","45",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2016年第１四半期","未改装",""
55,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","1",60000000,"","２ＬＤＫ","105",,"","","","昭和46年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,300,"2016年第１四半期","改装済",""
56,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",32000000,"","２ＬＤＫ","50",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2016年第１四半期","未改装",""
57,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","4",74000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第１四半期","",""
58,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","3",16000000,"","１Ｋ","20",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2016年第１四半期","未改装",""
59,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",10000000,"","１Ｋ","15",,"","","","平成7年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2016年第１四半期","未改装",""
60,"中古マンション等","","13105","東京都","文京区","大塚","護国寺","5",10000000,"","１Ｋ","15",,"","","","平成7年","ＳＲＣ","住宅","その他","","",,"商業地域",80,500,"2016年第１四半期","",""
61,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","5",55000000,"3800000","","50",1100000,"ほぼ長方形","5.6","","","","","住宅","南東","区道",1.8,"準工業地域",60,300,"2020年第４四半期","",""
62,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","5",62000000,"3200000","","65",980000,"ほぼ長方形","6.2","","","","","住宅","南東","区道",2.9,"準工業地域",60,300,"2020年第４四半期","","私道を含む取引"
63,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","5",50000000,"3400000","","50",1000000,"ほぼ長方形","4.5","","","","","住宅","南西","区道",3.8,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
64,"宅地(土地)","商業地","13105","東京都","文京区","大塚","新大塚","4",21000000,"2200000","","30",670000,"不整形","4.0","","","","","その他","西","区道",10.7,"準工業地域",60,300,"2020年第４四半期","",""
65,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",15000000,"","１Ｋ","20",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2020年第４四半期","改装済",""
66,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","2",72000000,"","３ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
67,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","5",83000000,"","","70",,"ほぼ長方形","5.6","100","令和3年","木造","住宅","住宅","北","私道",4.0,"準工業地域",60,300,"2020年第３四半期","","私道を含む取引"
68,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","6",42000000,"2300000","","60",700000,"不整形","4.3","","","","","住宅","北西","区道",3.8,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
69,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","6",90000000,"2900000","","105",860000,"ほぼ長方形","11.5","","","","","住宅","南西","区道",2.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
70,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","6",62000000,"","","105",,"不整形","","90","平成14年","木造","住宅","住宅","北東","区道",3.7,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
71,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",83000000,"","","85",,"ほぼ長方形","5.3","90","令和2年","木造","住宅","住宅","東","区道",4.0,"第１種住居地域",60,300,"2020年第３四半期","","私道を含む取引"
72,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","4",98000000,"","","115",,"ほぼ長方形","12.0","170","平成2年","鉄骨造","住宅","住宅","北東","区道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","","私道を含む取引"
73,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",40000000,"","","270",,"袋地等","","70","昭和43年","木造","住宅","住宅","南","区道",2.0,"第１種住居地域",60,300,"2020年第３四半期","",""
74,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",50000000,"","","95",,"","2.5","65","","木造","住宅","住宅","南","区道",2.0,"第１種住居地域",60,300,"2020年第３四半期","",""
75,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","4",94000000,"","","85",,"ほぼ台形","11.3","155","昭和61年","鉄骨造","住宅","その他","西","区道",10.5,"準工業地域",60,300,"2020年第３四半期","",""
76,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","6",19000000,"","１Ｋ","20",,"","","","平成2年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
77,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",57000000,"","２ＬＤＫ","55",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
78,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","6",57000000,"","３ＬＤＫ","75",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
79,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",55000000,"","１ＬＤＫ","60",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第３四半期","未改装",""
80,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","5",55000000,"","","65",,"不整形","7.2","135","昭和55年","鉄骨造","住宅、事務所","事務所","東","区道",3.5,"第１種住居地域",60,300,"2020年第２四半期","",""
81,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","6",48000000,"3300000","","50",990000,"ほぼ長方形","6.5","","","","","住宅","西","私道",4.0,"第１種住居地域",60,300,"2020年第２四半期","",""
82,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","6",80000000,"1700000","","155",520000,"不整形","","","","","","住宅","北","私道",2.7,"第１種住居地域",60,300,"2020年第２四半期","",""
83,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",70000000,"","３ＬＤＫ","85",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第２四半期","改装済",""
84,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",8600000,"","１Ｋ","25",,"","","","昭和58年","ＲＣ","","その他","","",,"準工業地域",60,300,"2020年第２四半期","未改装",""
85,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",60000000,"","","45",,"ほぼ整形","8.1","70","平成29年","木造","住宅","住宅","南東","区道",4.0,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
86,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","5",600000000,"","","640",,"袋地等","","890","平成31年","鉄骨造","共同住宅","住宅","北東","私道",4.0,"第１種住居地域",60,300,"2020年第１四半期","","私道を含む取引"
87,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","8",240000000,"2800000","","280",860000,"ほぼ長方形","14.9","","","","","住宅","北西","区道",5.4,"第１種中高層住居専用地域",60,300,"2020年第１四半期","",""
88,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","3",33000000,"","","45",,"長方形","5.1","55","平成3年","木造","住宅","住宅","南西","区道",1.9,"準工業地域",60,300,"2020年第１四半期","",""
89,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","4",52000000,"","","75",,"ほぼ長方形","11.8","95","平成9年","木造","住宅","住宅","北西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第１四半期","",""
90,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",2000000,"","１ＤＫ","25",,"","","","昭和58年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2020年第１四半期","改装済",""
91,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","2",64000000,"","３ＬＤＫ","70",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
92,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","8",15000000,"","１Ｋ","15",,"","","","平成8年","ＲＣ","住宅","","","",,"商業地域",80,400,"2020年第１四半期","未改装",""
93,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",22000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第１四半期","改装済",""
94,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",22000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","未改装",""
95,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",22000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","改装済",""
96,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",40000000,"","２ＤＫ","40",,"","","","昭和59年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","改装済",""
97,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",58000000,"","２ＬＤＫ","60",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2020年第１四半期","未改装",""
98,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",57000000,"","１ＤＫ","55",,"","","","平成22年","ＲＣ","","住宅","","",,"準工業地域",60,300,"2020年第１四半期","未改装",""
99,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",10000000,"","１Ｒ","15",,"","","","平成2年","ＳＲＣ","住宅","その他","","",,"準工業地域",60,300,"2020年第１四半期","未改装",""
100,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","4",62000000,"","","95",,"台形","11.0","170","平成2年","鉄骨造","住宅","その他","東","区道",3.3,"第１種中高層住居専用地域",60,300,"2019年第４四半期","",""
101,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",98000000,"","４ＬＤＫ","105",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
102,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","2",60000000,"","１ＬＤＫ","55",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
103,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","2",48000000,"2400000","","65",730000,"ほぼ長方形","5.0","","","","","住宅","南","区道",3.0,"準工業地域",60,300,"2019年第３四半期","",""
104,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","9",11000000,"","１Ｒ","15",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2019年第３四半期","未改装",""
105,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",24000000,"","２ＬＤＫ","50",,"","","","昭和57年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2019年第３四半期","改装済",""
106,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","9",11000000,"","１ＤＫ","15",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2019年第３四半期","未改装",""
107,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",39000000,"","１ＬＤＫ","40",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2019年第３四半期","未改装",""
108,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","6",23000000,"","１Ｋ","20",,"","","","平成20年","ＲＣ","","その他","","",,"第１種住居地域",60,300,"2019年第３四半期","未改装",""
109,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","5",100000000,"","","65",,"ほぼ整形","6.8","100","平成30年","木造","住宅","住宅","南","区道",3.8,"第１種住居地域",60,300,"2019年第２四半期","",""
110,"宅地(土地)","住宅地","13105","東京都","文京区","大塚","新大塚","7",73000000,"2900000","","85",880000,"ほぼ長方形","5.7","","","","","住宅","東","区道",4.0,"第１種住居地域",60,300,"2019年第２四半期","","私道を含む取引"
111,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",150000000,"","","155",,"ほぼ長方形","8.0","200","昭和64年","鉄骨造","住宅","住宅","西","私道",3.0,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
112,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",60000000,"","２ＤＫ","45",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2019年第２四半期","未改装",""
113,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","1",26000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第２四半期","",""
114,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",18000000,"","１Ｋ","20",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第２四半期","未改装",""
115,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",49000000,"","３ＬＤＫ","75",,"","","","昭和59年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2019年第２四半期","未改装",""
116,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","3",38000000,"","３ＬＤＫ","55",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2019年第２四半期","未改装",""
117,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",58000000,"","３ＬＤＫ","65",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第２四半期","未改装",""
118,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","1",120000000,"","オープンフロア","240",,"","","","平成2年","ＳＲＣ","事務所","事務所","","",,"商業地域",80,500,"2019年第２四半期","改装済",""
119,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","1",28000000,"","１Ｋ","20",,"","","","平成22年","ＲＣ","","住宅","","",,"商業地域",80,500,"2019年第２四半期","未改装",""
120,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","5",13000000,"","１Ｋ","15",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"準工業地域",60,300,"2019年第２四半期","未改装",""
121,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","4",35000000,"","","35",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,300,"2019年第２四半期","未改装",""
122,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","6",90000000,"","","95",,"不整形","3.5","100","平成30年","木造","住宅","住宅","東","区道",3.8,"第１種住居地域",60,300,"2019年第１四半期","",""
123,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","4",59000000,"","","60",,"ほぼ長方形","4.3","90","平成31年","木造","住宅","住宅","北","私道",2.4,"第１種住居地域",60,300,"2019年第１四半期","","私道を含む取引"
124,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",70000000,"","","45",,"ほぼ長方形","6.6","80","平成31年","木造","住宅","住宅","南","私道",3.2,"第１種住居地域",60,300,"2019年第１四半期","",""
125,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","7",64000000,"","","65",,"袋地等","2.3","80","平成31年","木造","住宅","住宅","東","私道",3.4,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
126,"宅地(土地と建物)","住宅地","13105","東京都","文京区","大塚","新大塚","8",180000000,"","","280",,"ほぼ長方形","15.0","210","昭和40年","木造","共同住宅","住宅","北西","区道",5.4,"第１種中高層住居専用地域",60,300,"2019年第１四半期","",""
127,"中古マンション等","","13105","東京都","文京区","大塚","新大塚","11",22000000,"","１Ｋ","20",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第１四半期","未改装",""
